sec,nanosec,image,motor position #0,motor position #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,wire length #0_normalized,wire length #1_normalized,loadcell #0_normalized,loadcell #1_normalized,fx_normalized,fy_normalized,fz_normalized,tx_normalized,ty_normalized,tz_normalized
1731637011,517175049,1_1731637011-517175049.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.280029296875,483.0799865722656,-84.15395212833376,99.10018060745921,-178.42536357033225,-54.8425351102385,72.0544309360646,-39.22582598712719,0.5,0.49382716056425124,0.0426818108040633,0.6964861316838652,0.08098339570760066,1.0,0.0,0.31959354337450785,0.5490404416926739,0.03825524952334525
1731637011,550520020,2_1731637011-550520020.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.4200439453125,483.2699890136719,-87.71005440268927,94.09279668725169,-168.5304094276128,-55.102128844315615,73.12100372429566,-39.145524730969555,0.5,0.49382716056425124,0.042762091212962816,0.6967570915091675,0.07306435263837799,0.9946822812659804,0.01625401101223306,0.31700312280884413,0.5564613782597059,0.03893809144208654
1731637011,583865967,3_1731637011-583865967.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.4200439453125,483.2699890136719,-91.13687795006818,89.26064611892805,-158.67542059110838,-55.34318428172289,74.09001143097706,-39.066920002206295,0.5,0.49382716056425124,0.042762091212962816,0.6967570915091675,0.06543319887263366,0.989550656047654,0.03244237275333689,0.3145976912419197,0.5632034823182337,0.0396065069361789
1731637011,617210938,4_1731637011-617210938.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.4599609375,483.5,-94.42129697387321,84.61852380859183,-148.89486465043578,-55.56528865014571,74.95797414037769,-38.989946750201405,0.5,0.49382716056425124,0.04278497847862117,0.6970851069610313,0.05811916409516088,0.9846208361719169,0.048508466812239,0.31238136762481994,0.5692425415180227,0.04026104916385709
1731637011,650556885,5_1731637011-650556885.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.550048828125,483.6700134277344,-97.55089165346907,80.18021338823733,-139.223100018327,-55.768174022375156,75.72200306176155,-38.914534859441325,0.5,0.49382716056425124,0.0428366323075382,0.6973275607333986,0.05114990586103954,0.9799074595173991,0.06439585411798929,0.3103568255357595,0.5745584564030922,0.040902314352553926
1731637011,683901855,6_1731637011-683901855.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.4200439453125,483.739990234375,-100.5140413267093,75.95839307509316,-129.69414575265665,-55.951720635125504,76.37982963068632,-38.84061118706231,0.5,0.49382716056425124,0.042762091212962816,0.6974273536790168,0.04455130208854394,0.9754239900394004,0.08004865304310926,0.3085252600624373,0.5791354428909956,0.04153092447278167
1731637011,717248047,7_1731637011-717248047.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.3499755859375,483.8299865722656,-103.30001213482633,71.96454951178451,-120.34145235148131,-56.11595871331239,76.9298305373817,-38.768101508003205,0.5,0.49382716056425124,0.04272191601269404,0.6975556961982613,0.0383472558837496,0.9711826262702589,0.09541191590861697,0.3068863695980242,0.5829622064137796,0.04214751069752065
1731637011,750593018,8_1731637011-750593018.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.4100341796875,483.8399963378906,-105.89903815162336,68.2089003661667,-111.19767566079695,-56.261068769806926,77.37104838526292,-38.69693231501896,0.5,0.49382716056425124,0.04275635189863869,0.6975699709850746,0.03255951487487324,0.9671942191222747,0.11043200037592477,0.3054383528499912,0.5860320856545572,0.042752698095800346
1731637011,783938965,9_1731637011-783938965.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.1099853515625,484.0400085449219,-108.30239507326544,64.70032633553699,-102.29445595486149,-56.3873803762032,77.70320770779495,-38.62703241192001,0.5,0.49382716056425124,0.04258431245219141,0.6978552055971902,0.027207507113328366,0.9634681996778536,0.12505693234198978,0.30417792110631237,0.588343163988692,0.04334709208458448
1731637011,817283936,10_1731637011-817283936.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.1099853515625,484.0400085449219,-110.50246561829432,61.44631303575297,-93.66220411826622,-56.49536941517515,77.92672610584503,-38.5583342335983,0.5,0.49382716056425124,0.04258431245219141,0.6978552055971902,0.02230819543518789,0.9600125174771779,0.1392367571687299,0.3031003256535034,0.5898983469746046,0.04393126720392687
1731637011,850629883,11_1731637011-850629883.png,400000,-384454,3.829656839370728,-3.6808173656463614,1198.1099853515625,484.0400085449219,-112.49279587170683,58.45290306694142,-85.3298967381897,-56.5856538370465,78.04272030313832,-38.49077483080017,0.5,0.49382716056425124,0.04258431245219141,0.6978552055971902,0.01787595198920683,0.9568335896131664,0.1529238762760705,0.3021994001207433,0.5907054044860615,0.044505758742952484
1731637011,883974854,12_1731637011-883974854.png,400000,-384454,3.829656839370728,-3.6808173656463614,1197.9200439453125,483.9800109863281,-114.268141899587,55.72465836275252,-77.32488182178712,-56.65898795807082,78.0530069499011,-38.42429647241585,0.5,0.49382716056425124,0.0424754054633093,0.6977696439176937,0.013922454431236742,0.9539362607473074,0.16607336628154293,0.3014676173759031,0.5907769763037155,0.04507105761828778
1731637011,917320801,13_1731637011-917320801.png,400000,-384454,3.829656839370728,-3.6808173656463614,1197.8699951171875,483.7300109863281,-115.82450606208491,53.26463277541275,-69.67269675938131,-56.71625535642544,77.96009803768277,-38.358846839758456,0.5,0.49382716056425124,0.04244670889168878,0.697413122412895,0.010456605059272484,0.951323773995658,0.17864327802423705,0.3008961604146353,0.5901305402126281,0.045627608722008384
