sec,nanosec,image,motor position #0,motor position #1,motor velocity #0,motor velocity #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_desired,theta_actual,translation(m)(x),translation(m)(y),translation(m)(z),Rotation(rad)(x),Rotation(rad)(y),Rotation(rad)(z),Rotation(deg)(x),Rotation(deg)(y),Rotation(deg)(z),wire length #0_normalized,wire length #1_normalized,loadcell #0_normalized,loadcell #1_normalized,fx_normalized,fy_normalized,fz_normalized,tx_normalized,ty_normalized,tz_normalized
1767329003,761501953,1_1767329003-761501953.png,-195757,201226,0,0,-1.8742053462009804,1.9265663296568627,148.01,367.39,19.0,-16.0,-72.0,20.0,102.0,-11.0,-73.95580330276131,-17.129331379014094,-82.00187671069976,-10.980011561533525,19.81108096171486,4.889387550876493,-364.3866085708142,364.5490071773528,-0.5235987755982988,0.5304881766216774,,,,,,,,,,1.0,0.0,0.9034785383756182,0.03926396468018431,0.544892766266812,0.7886977886977887,0.2751191216076238,0.15552779512804496,0.6074821852731591,0.7323943661971831
1767329003,794859375,2_1767329003-794859375.png,-195757,201226,0,0,-1.8742053462009804,1.9265663296568627,148.01,367.39,19.0,-16.0,-72.0,20.0,102.0,-11.0,-71.06239318562635,-17.094178987000497,-81.69055100281665,-10.015705130990993,22.36935318800304,4.394802887398912,-364.40823334455496,364.5491504669188,-0.5235987755982988,0.5304881766216774,,,,,,,,,,1.0,0.0,0.9034785383756182,0.03926396468018431,0.544892766266812,0.7886977886977887,0.2751191216076238,0.15552779512804496,0.6074821852731591,0.7323943661971831
1767329003,828215820,3_1767329003-828215820.png,-195757,201226,0,0,-1.8742053462009804,1.9265663296568627,147.91,367.3,27.0,-50.0,-59.0,28.0,93.0,-1.0,-59.41126979171813,-21.0038304705675,-78.99461017350049,-5.498931095615642,30.761218353279755,3.753828176452226,-369.4400519430638,366.10240936279286,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.0,0.9033189723950852,0.039194498259480265,0.5478007997091966,0.7678132678132679,0.2778123057799876,0.1580262336039975,0.6021377672209026,0.7793427230046949
1767329003,861572998,4_1767329003-861572998.png,-195757,201227,0,50,-1.8742053462009804,1.92657590379902,147.95,367.64,-60.0,-21.0,-98.0,15.0,-13.0,24.0,-57.11109096107284,-21.79869556628822,-80.70428326726436,-2.144560001402714,27.268914314409397,6.028953903558653,-369.4875225424767,368.5695691108703,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9033827987872984,0.0394569269599179,0.5161759360232642,0.7856265356265356,0.26973275326289625,0.15396627108057465,0.5391923990498813,0.8967136150234741
1767329003,894929443,5_1767329003-894929443.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.9,368.14,-151.0,93.0,-208.0,16.0,39.0,32.0,-70.84157660110186,-5.010324531819615,-99.32024151544636,0.5089336124235126,28.984489723653624,9.827007146842927,-369.5707746744157,368.5753006935119,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.903303015797032,0.03984285151938502,0.4830970556161395,0.8556511056511057,0.2469442718044334,0.15427857589006871,0.5700712589073634,0.9342723004694835
1767329003,961643311,6_1767329003-961643311.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,148.02,368.82,-137.0,-54.0,-162.0,-23.0,36.0,12.0,-82.70614935117256,-18.698836897473974,-142.49808860756073,2.444083262165112,37.12607696757157,12.025973783242208,-366.5585670769215,364.818248271942,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9034944949736715,0.04036770892026029,0.48818611414031254,0.7653562653562653,0.25647400041433605,0.14209868831980013,0.5682897862232779,0.8403755868544601
1767329003,995000488,7_1767329003-995000488.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.89,368.79,-192.0,-55.0,-224.0,-32.0,65.0,7.0,-86.10810944373368,-19.828773371074387,-145.03497653289713,1.3719516098616211,37.99370102159202,11.869531658316198,-376.3803055286408,371.5623149871825,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9032870591989786,0.04034455344669227,0.46819338422391854,0.7647420147420148,0.24362958359229336,0.13928794503435354,0.5855106888361045,0.8169014084507042
1767329004,28356934,8_1767329004-28356934.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.89,368.79,-192.0,-55.0,-224.0,-32.0,65.0,7.0,-95.69172005506512,-23.011900416628567,-152.18160535261066,-1.6483343430005473,40.43787169512189,11.428820901074062,-386.1443779170514,384.733778476715,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9032870591989786,0.04034455344669227,0.46819338422391854,0.7647420147420148,0.24362958359229336,0.13928794503435354,0.5855106888361045,0.8169014084507042
1767329004,61714111,9_1767329004-61714111.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.89,368.86,-62.0,-70.0,-132.0,2.0,25.0,-24.0,-98.27389416247324,-23.826694204586477,-158.5061290470949,-3.87833832475854,46.775882085695216,8.777598062849327,-362.6057792305947,358.58314609527577,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9032870591989786,0.04039858288501766,0.515448927662668,0.7555282555282555,0.26268904081209865,0.14990630855715179,0.5617577197149644,0.6713615023474179
1767329004,95070557,10_1767329004-95070557.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.83,369.07,-13.0,-118.0,-95.0,-2.0,-34.0,-24.0,-91.44392385865112,-32.07324582760337,-153.4781353147776,-3.143186302277299,41.754860271110914,3.9841422210096926,-362.6511068344117,358.4686577320098,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9031913196106589,0.04056067119999382,0.5332606324972736,0.726044226044226,0.2703542573026725,0.1486570893191755,0.5267220902612827,0.6713615023474179
1767329004,128427734,11_1767329004-128427734.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.8,368.95,-16.0,61.0,-40.0,51.0,-2.0,-19.0,-76.13929237271562,-32.93504263884565,-136.88877543431747,1.8805068510826417,29.60878816656569,-1.1199835674415517,-381.0007339119912,379.3650050163268,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.903143449816499,0.040468049305721704,0.5321701199563794,0.835995085995086,0.2817484980319039,0.16520924422236102,0.5457244655581948,0.6948356807511737
1767329004,161784180,12_1767329004-161784180.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.83,369.05,70.0,236.0,-66.0,92.0,86.0,-15.0,-55.52827892158197,4.090824918903925,-123.233941381326,15.240515227699248,34.60184372516111,-3.73469242940584,-373.6276601552964,368.8409595489501,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9031913196106589,0.04054523421761516,0.5634314794620138,0.9434889434889435,0.27636212968717633,0.17801374141161774,0.597980997624703,0.7136150234741784
1767329004,195141357,13_1767329004-195141357.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.78,368.93,20.0,267.0,-112.0,83.0,123.0,-6.0,-44.4828853840032,42.53914314982701,-121.59106926366968,25.14978611139969,47.529351646607765,-4.065975148383821,-376.328678816557,372.47120070457447,-0.5235987755982988,0.5213147940905402,,,,,,,,,,1.0,0.5000000000291038,0.9031115366203923,0.040452612323343046,0.5452562704471101,0.9625307125307125,0.2668324010772737,0.17520299812617113,0.6199524940617577,0.755868544600939
1767329004,228497559,14_1767329004-228497559.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.75,368.85,-157.0,-117.0,-94.0,-8.0,7.0,7.0,-57.85142294188167,23.58375992275848,-118.3128813455718,21.2111483123561,42.71392279799856,-2.7511893498801805,-375.9180678725243,370.6240549087523,-0.5235987755982988,0.5243789634425233,,,,,,,,,,1.0,0.5000000000291038,0.9030636668262325,0.0403908643938283,0.4809160305343511,0.7266584766584767,0.27056142531593125,0.14678326046221113,0.5510688836104513,0.8169014084507042
1767329004,261854736,15_1767329004-261854736.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.67,369.04,-178.0,-156.0,-20.0,-13.0,-29.0,-2.0,-78.05701405777026,-6.414868484007694,-103.28931839634312,15.431769975540332,31.27726090652789,-2.382199120406664,-363.4690817594529,361.68436217308033,-0.5235987755982988,0.5203261934599911,,,,,,,,,,1.0,0.5000000000291038,0.9029360140418061,0.040537515726425805,0.47328244274809156,0.7027027027027027,0.28589185829707897,0.1452217364147408,0.5296912114014252,0.7746478873239436
1767329004,328568359,16_1767329004-328568359.png,-195757,201227,0,0,-1.8742053462009804,1.92657590379902,147.82,369.25,42.0,109.0,335.0,-18.0,-101.0,11.0,-67.01245679071754,12.415408826687564,-34.014533220559606,6.196717402806756,5.183137770921187,-0.2925978291995671,-373.274520456791,368.3966186046599,-0.5235987755982988,0.5132364677832036,,,,,,,,,,1.0,0.5000000000291038,0.9031753630126056,0.04069960404140202,0.5532533624136677,0.8654791154791155,0.3594365030039362,0.14366021236727045,0.4869358669833729,0.8356807511737089
