sec,nanosec,image,motor position #0,motor position #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz
1731635865,154412109,1_1731635865-154412109.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.5899963378906,845.6699829101562,-110.0,151.0,-92.0,36.0,22.0,13.0
1731635865,187759521,2_1731635865-187759521.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.5899963378906,845.6699829101562,-110.0,151.0,-92.0,36.0,22.0,13.0
1731635865,221105957,3_1731635865-221105957.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.7099914550781,845.5399780273438,-22.0,-139.0,153.0,15.0,23.0,24.0
1731635865,254453613,4_1731635865-254453613.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.4599914550781,845.5900268554688,60.0,-126.0,235.0,7.0,26.0,24.0
1731635865,287800049,5_1731635865-287800049.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.17999267578125,845.6400146484375,22.0,-62.0,287.0,1.0,-9.0,4.0
1731635865,321147461,6_1731635865-321147461.png,-384454,400000,-3.6808173656463623,3.8296568393707275,427.8999938964844,845.6699829101562,-23.0,25.0,194.0,13.0,-43.0,-16.0
1731635865,354494141,7_1731635865-354494141.png,-384454,400000,-3.6808173656463623,3.8296568393707275,427.8900146484375,845.6699829101562,-112.0,58.0,48.0,50.0,-49.0,-5.0
1731635865,387841553,8_1731635865-387841553.png,-384454,400000,-3.6808173656463623,3.8296568393707275,427.9200134277344,845.72998046875,-76.0,160.0,-22.0,44.0,-57.0,5.0
1731635865,421187988,9_1731635865-421187988.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.2300109863281,845.780029296875,70.0,110.0,230.0,-1.0,-52.0,13.0
1731635865,454535400,10_1731635865-454535400.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.3900146484375,845.8599853515625,44.0,36.0,266.0,-16.0,-37.0,17.0
1731635865,487882080,11_1731635865-487882080.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.2900085449219,845.8499755859375,22.0,17.0,20.0,5.0,-28.0,-4.0
1731635865,521229492,12_1731635865-521229492.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.29998779296875,845.9000244140625,96.0,-5.0,-7.0,-34.0,-28.0,-1.0
1731635865,554575928,13_1731635865-554575928.png,-384454,400000,-3.6808173656463623,3.8296568393707275,428.04998779296875,845.9600219726562,122.0,-24.0,-258.0,-36.0,-44.0,-5.0
