sec,nanosec,image,motor position #0,motor position #1,motor velocity #0,motor velocity #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_desired,theta_actual,translation(m)(x),translation(m)(y),translation(m)(z),Rotation(rad)(x),Rotation(rad)(y),Rotation(rad)(z),Rotation(deg)(x),Rotation(deg)(y),Rotation(deg)(z),actual(x),actual(y),theta_actual_rel_#0,theta_actual_rel_#1,theta_actual_rel_#2,theta_actual_rel_#3,theta_actual_rel_#4,theta_actual_rel_#5,theta_actual_rel_#6,theta_actual_rel_#7,theta_actual_rel_#8,theta_actual_abs_eef,wire length #0_normalized,wire length #1_normalized,loadcell #0_normalized,loadcell #1_normalized,fx_normalized,fy_normalized,fz_normalized,tx_normalized,ty_normalized,tz_normalized
1769057264,716519287,1_1769057264-716519287.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.74,336.88,62.0,-170.0,-218.0,6.0,65.0,-10.0,122.97480206143888,-56.6215035956408,-65.59014607749917,5.070170687816302,-2.7928193794966822,-10.292845894064214,-17.155378773472457,-16.226977714456314,0.5235987755982988,-0.5833552068149331,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225298095358864,0.0767512760920123,-0.0602306675497798,-0.0778124694970445,-0.0470466859549477,-0.0584381011092567,-0.0663335052337272,-0.0702813253932715,-0.0708267128758038,-0.0683589242529581,-0.0640268149481435,-0.5833552068149331,0.9999974810194819,0.0,0.27952228135028634,0.09081106112728232,0.5316973415132924,0.473625140291807,0.8504832291074473,0.05827505827505827,0.3417391304347826,0.6296296296296297
1769057264,749865967,2_1769057264-749865967.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.74,336.88,62.0,-170.0,-218.0,6.0,65.0,-10.0,121.07685590954296,-60.150605350519385,-70.33416632822113,5.099113233020481,-0.6826506488488304,-10.283730559221835,-8.666054450957056,-14.013212926576315,0.5235987755982988,-0.5875066617919064,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225997208411582,0.0767130478275351,-0.0470983825861314,-0.0742712681090776,-0.0585104638566105,-0.063119598253287,-0.0668315567470753,-0.0693165222373808,-0.0705300329240262,-0.0698926588166262,-0.067936178261691,-0.5875066617919065,0.9999974810194819,0.0,0.27952228135028634,0.09081106112728232,0.5316973415132924,0.473625140291807,0.8504832291074473,0.05827505827505827,0.3417391304347826,0.6296296296296297
1769057264,783211670,3_1769057264-783211670.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.74,336.8,73.0,-102.0,110.0,-34.0,-44.0,24.0,107.41213729663804,-65.85208064762423,-71.59173878691563,2.689334088591983,-1.596269028663056,-6.221803568931493,-12.78034021195525,-15.4046937903996,0.5235987755982988,-0.5715326598761477,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225464917380185,0.0767414832159444,-0.060500573443808,-0.076270457108028,-0.0467739621204036,-0.0602944390160861,-0.0683029705203349,-0.0707249582887536,-0.0686982712550977,-0.0635510207163853,-0.05641600740725,-0.5715326598761477,0.9999974810194819,0.0,0.27952228135028634,0.0907581370732998,0.5391956373551465,0.5499438832772167,0.9437180216031835,0.03496503496503496,0.2469565217391304,0.8095238095238095
1769057264,816558350,4_1769057264-816558350.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.74,336.8,73.0,-102.0,110.0,-34.0,-44.0,24.0,104.2977106637561,-69.12360202346467,-55.157009879665736,-0.6311873379971573,-5.4339646629762,-3.4866177501186013,-8.906717148065292,-13.961688883466136,0.5235987755982988,-0.5882655849117396,0,0,0,0,0,0,0.0,0.0,0.0,-0.022266493000907,0.0767492584769304,-0.0472903621665604,-0.0739453723389876,-0.0579174514822334,-0.0629621500249055,-0.0669981787103906,-0.0696705564872667,-0.0709591232320984,-0.070288156032245,-0.0682342344370515,-0.5882655849117396,0.9999974810194819,0.0,0.27952228135028634,0.0907581370732998,0.5391956373551465,0.5499438832772167,0.9437180216031835,0.03496503496503496,0.2469565217391304,0.8095238095238095
1769057264,849903809,5_1769057264-849903809.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.51,336.79,165.0,-186.0,58.0,-40.0,-26.0,29.0,86.59179973407386,-74.44434644052326,-25.399942995971376,-9.701805575874076,-8.563046069652076,2.1276067015229074,-11.627251984941006,-15.273561783685702,0.5235987755982988,-0.5658169419711465,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225122659134997,0.0767621931747287,-0.0606815936996243,-0.076109700683333,-0.0467454587481556,-0.0605841828415928,-0.0684291585818828,-0.0703280315140239,-0.0675729288736908,-0.0616629103002743,-0.0537029767285685,-0.5658169419711465,0.9999974810194819,0.0,0.27936656240267566,0.090751521566552,0.601908657123381,0.45566778900112237,0.9289368959636156,0.031468531468531465,0.2626086956521739,0.835978835978836
1769057264,883250488,6_1769057264-883250488.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.53,336.85,245.0,-5.0,4.0,25.0,-4.0,18.0,100.54849656825073,-85.12451109973539,-14.884226295565242,-12.109431500358603,-10.428270036057471,5.715080585627668,-10.585914958149194,-15.082834370885132,0.5235987755982988,-0.5658169419711465,0,0,0,0,0,0,0.0,0.0,0.0,-0.0224987092452521,0.0767688413970676,-0.0606815936996243,-0.076109700683333,-0.0467454587481556,-0.0605841828415928,-0.0684291585818828,-0.0703280315140239,-0.0675729288736908,-0.0616629103002743,-0.0537029767285685,-0.5658169419711465,0.9999974810194819,0.0,0.2793801031807287,0.0907912146070389,0.656441717791411,0.6588103254769923,0.9135872654917566,0.06934731934731934,0.2817391304347826,0.7777777777777778
1769057264,916596191,7_1769057264-916596191.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.48,336.79,196.0,67.0,-81.0,31.0,10.0,7.0,124.79668853689984,-62.69839599309583,-18.827314655286,-4.197810397765497,-7.884794589715955,7.158882869198912,-12.138293990452585,-15.278205581562585,0.5235987755982988,-0.5774198704725031,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225101880737937,0.0767606756077003,-0.0602628452534013,-0.0776238425971641,-0.0472591519674603,-0.0589134298698139,-0.0665369402394943,-0.0698221809104567,-0.0695447338956357,-0.066340019364734,-0.0611167263743424,-0.5774198704725031,0.9999974810194819,0.0,0.279346251235596,0.090751521566552,0.6230402181322428,0.739618406285073,0.8894258101193859,0.07284382284382285,0.29391304347826086,0.7195767195767195
1769057264,949942627,8_1769057264-949942627.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.51,336.8,106.0,65.0,209.0,6.0,-12.0,2.0,127.06425562107604,-43.912072990274886,-1.6734813426720354,-1.313011422343321,-7.260371508689055,6.683128919804756,-14.840412899201752,-15.904565461861266,0.5235987755982988,-0.5700684141189659,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225566666063614,0.0767385196223788,-0.060872710307258,-0.0760634625478919,-0.0461476269185698,-0.060108195890409,-0.0683424735191147,-0.0707839378379615,-0.0686220045839878,-0.0632701256792,-0.0558578768345727,-0.5700684141189659,0.9999974810194819,0.0,0.27936656240267566,0.0907581370732998,0.5616905248807089,0.7373737373737375,0.9718590108015916,0.05827505827505827,0.2747826086956522,0.6931216931216931
1769057264,983288330,9_1769057264-983288330.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.6,336.88,13.0,12.0,197.0,-32.0,-13.0,-9.0,115.56693389874552,-32.78126985852104,28.049748867320147,-3.682684842048644,-8.044007166588028,5.002718606008465,-12.16549933882134,-15.26438475454805,0.5235987755982988,-0.5700684141189659,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225137783850639,0.0767562624781812,-0.060872710307258,-0.0760634625478919,-0.0461476269185698,-0.060108195890409,-0.0683424735191147,-0.0707839378379615,-0.0686220045839878,-0.0632701256792,-0.0558578768345727,-0.5700684141189659,0.9999974810194819,0.0,0.2794274959039147,0.09081106112728232,0.49829584185412407,0.6778900112233447,0.9684479818078453,0.03613053613053613,0.27391304347826084,0.6349206349206349
1769057265,16635010,10_1769057265-16635010.png,201227,-195757,0,0,1.92657590379902,-1.8742053462009804,488.71,336.9,46.0,51.0,180.0,9.0,-35.0,-4.0,101.76251380974314,-20.408604903827037,55.22731720577377,-3.705036734435772,-11.51437877319398,3.1768842582356367,-13.739642649819732,-15.55473268846938,0.5235987755982988,-0.5737880069429165,0,0,0,0,0,0,0.0,0.0,0.0,-0.0225496540921286,0.0767397910209823,-0.0608034589996728,-0.0765317424450481,-0.0463282415599367,-0.0597155111305564,-0.0679061734756408,-0.0707389693511748,-0.0692351615674089,-0.0646437025297304,-0.0578850458837473,-0.5737880069429165,0.9999974810194819,0.0,0.27950197018320666,0.09082429214077795,0.5207907293796864,0.7216610549943884,0.9636156907333712,0.060023310023310024,0.25478260869565217,0.6613756613756614
