sec,nanosec,image,motor position #0,motor position #1,motor velocity #0,motor velocity #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_desired,theta_actual,translation(m)(x),translation(m)(y),translation(m)(z),Rotation(rad)(x),Rotation(rad)(y),Rotation(rad)(z),Rotation(deg)(x),Rotation(deg)(y),Rotation(deg)(z),wire length #0_normalized,wire length #1_normalized,loadcell #0_normalized,loadcell #1_normalized,fx_normalized,fy_normalized,fz_normalized,tx_normalized,ty_normalized,tz_normalized
1767329004,128427734,11_1767329004-128427734.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.8,368.95,-16,61,-40,51,-2,-19,-76.1392923727156,-32.9350426388457,-136.888775434317,1.88050685108264,29.6087881665657,-1.11998356744155,-381.000733911991,379.365005016327,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329004,161784180,12_1767329004-161784180.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.83,369.05,70,236,-66,92,86,-15,-55.528278921582,4.09082491890393,-123.233941381326,15.2405152276992,34.6018437251611,-3.73469242940584,-373.627660155296,368.84095954895,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329004,195141357,13_1767329004-195141357.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.78,368.93,20,267,-112,83,123,-6,-44.4828853840032,42.539143149827,-121.59106926367,25.1497861113997,47.5293516466078,-4.06597514838382,-376.328678816557,372.471200704574,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329004,228497559,14_1767329004-228497559.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.75,368.85,-157,-117,-94,-8,7,7,-57.8514229418817,23.5837599227585,-118.312881345572,21.2111483123561,42.7139227979986,-2.75118934988018,-375.918067872524,370.624054908752,-0.523598775598299,0.524378963442523,,,,,,,,,,,,,,,,,,,
1767329004,261854736,15_1767329004-261854736.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.67,369.04,-178,-156,-20,-13,-29,-2,-78.0570140577703,-6.41486848400769,-103.289318396343,15.4317699755403,31.2772609065279,-2.38219912040666,-363.469081759453,361.68436217308,-0.523598775598299,0.520326193459991,,,,,,,,,,,,,,,,,,,
1767329004,328568359,16_1767329004-328568359.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.82,369.25,42,109,335,-18,-101,11,-67.0124567907175,12.4154088266876,-34.0145332205596,6.19671740280676,5.18313777092119,-0.292597829199567,-373.274520456791,368.39661860466,-0.523598775598299,0.513236467783204,,,,,,,,,,,,,,,,,,,
1767329004,361925293,17_1767329004-361925293.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.85,368.96,-154,-90,-17,-14,54,20,-63.3992770218799,23.3421232507205,25.8812511268484,0.753257689799356,-1.98095872477155,2.92617992125906,-369.100159853697,361.440340042114,-0.523598775598299,0.513319100792081,,,,,,,,,,,,,,,,,,,
1767329004,395283203,18_1767329004-395283203.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.85,368.96,-154,-90,-17,-14,54,20,-71.5989799978698,13.0842388235909,22.0003381393891,-0.581967096583508,3.08552660520899,4.47142424944149,-380.387057900429,375.801966667175,-0.523598775598299,0.523056549507015,,,,,,,,,,,,,,,,,,,
1767329004,428640137,19_1767329004-428640137.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.87,369.22,-197,-176,-81,-30,0,31,-89.9378543336058,-14.5677858138103,6.93738045655295,-4.88411398989538,2.63429355565694,8.35101164823046,-383.436605572701,375.387429952621,-0.523598775598299,0.518499391389307,,,,,,,,,,,,,,,,,,,
1767329004,461998047,20_1767329004-461998047.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.69,368.98,-170,-152,-131,-44,-42,12,-101.646288829597,-34.6661239740556,-13.2348341422627,-10.604492644376,-3.89310710318652,8.88464637332703,-365.694939851761,363.815794467926,-0.523598775598299,0.51810934642028,,,,,,,,,,,,,,,,,,,
1767329004,495354980,21_1767329004-495354980.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.71,368.91,-175,-177,-108,-39,-68,9,-112.373669605216,-55.4812901195438,-27.0934651808356,-14.7571035329111,-13.2682162758965,8.90151589850068,-365.746241867542,363.785846948624,-0.523598775598299,0.531867759514034,,,,,,,,,,,,,,,,,,,
1767329004,528712891,22_1767329004-528712891.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.82,368.86,-53,-90,-45,2,14,3,-108.772338726043,-61.0216242823564,-26.3623857988699,-13.8448562671118,-11.106234202525,7.03149763079686,-365.746241867542,363.785846948624,-0.523598775598299,0.518640553214482,,,,,,,,,,,,,,,,,,,
1767329004,562069824,23_1767329004-562069824.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.85,368.64,-69,-58,-222,13,28,1,-99.5989715844554,-62.9736598852419,-51.0931122954044,-9.3916904786348,-4.45765165862895,5.99336042247393,-377.593760550022,374.276076078415,-0.523598775598299,0.526544242751713,,,,,,,,,,,,,,,,,,,
1767329004,628784668,24_1767329004-628784668.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.79,368.41,-70,-5,-254,36,14,1,-94.4572054147597,-54.3633124000776,-85.308385538907,-2.15847426522725,-0.895818611346825,5.13042521649639,-378.010865420103,372.146936416626,-0.523598775598299,0.51835507824844,,,,,,,,,,,,,,,,,,,
1767329004,662142578,25_1767329004-662142578.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.84,368.52,-122,10,-219,-6,-2,9,-93.1943306595758,-44.9132474157931,-108.747101856659,-2.04162980820628,-1.97889493851508,4.90689615685258,-378.571226298809,375.359345197677,-0.523598775598299,0.519620531792013,,,,,,,,,,,,,,,,,,,
1767329004,695499512,26_1767329004-695499512.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.86,368.58,-73,40,-155,-4,35,1,-94.4039797148389,-35.0440962056535,-120.948473720051,-2.49793992871859,0.285548268632812,5.01520246196883,-363.262574911118,358.232946395874,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,728857422,27_1767329004-728857422.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,148.02,368.67,0,-25,-111,-5,44,-2,-81.4805429663518,-27.8659061096191,-122.482094170179,-2.91500841905224,8.24791048073565,3.86148751835778,-368.174061059952,365.447002887726,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,762214111,28_1767329004-762214111.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.98,368.63,-148,-86,-22,13,42,17,-91.2084699273984,-36.3675422403258,-107.787409087496,-0.587568503139091,13.1838777340466,5.78288759433199,-355.069448173046,348.52909040451,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,795572021,29_1767329004-795572021.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.98,368.83,-85,-144,-115,-7,99,36,-90.4708206934606,-49.155717256346,-108.644361319452,-1.34945109847291,23.3799804113968,9.37308454760844,-357.973272144795,354.778234958649,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,828928955,30_1767329004-828928955.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.88,369.04,-85,-21,-72,-57,84,40,-89.6707578773127,-48.4118739963743,-104.464846629748,-8.11646619074542,32.65658972342,13.7423068036713,-357.973272144795,354.778234958649,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,862286621,31_1767329004-862286621.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.9,369.05,-19,-117,-90,-85,95,38,-81.146015296744,-55.8091949573726,-101.855768787068,-18.5920578667035,41.4720909412512,17.3446531029104,-357.98749384284,354.786259174347,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,895643555,32_1767329004-895643555.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.91,369.35,-114,62,-262,33,90,38,-80.7310655265432,-28.0819495606504,-119.471362995452,-7.97582003555744,41.073748184656,22.0477567983465,-372.433297276497,366.045953273773,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,929001465,33_1767329004-929001465.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,148.04,369.34,-69,123,-260,-12,110,36,-83.7226809063096,-8.77594020439415,-143.980097861974,-3.65232745941558,50.7547048022873,24.6819988951121,-372.433297276497,366.045953273773,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,962358154,34_1767329004-962358154.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,148.09,369.45,-134,32,-190,-51,109,19,-88.9012273676982,3.18510345610668,-155.713318513192,-9.72866466164992,60.8744575860711,24.6181092498375,-363.169322133064,357.430238246918,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329004,995716064,35_1767329004-995716064.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,148.05,369.39,-7,-13,-65,-8,4,1,-80.4072563194574,2.05244494089792,-145.875794236496,-10.6552852596912,55.4370210197138,21.6578660280065,-363.049574136734,357.407311916351,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
1767329005,62430420,36_1767329005-62430420.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.92,369.25,-12,-40,22,-4,-34,-4,-70.2661118528388,-3.35681310267599,-123.711607106198,-9.79171801121279,43.3998690086903,18.0427550983254,-374.656492859125,370.221124649048,-0.523598775598299,0.530549527006038,,,,,,,,,,,,,,,,,,,
