sec,nanosec,image,motor position #0,motor position #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,Image Filename,Joint Angles,Joint Angles Relative,Joint Angles_0,Joint Angles_1,Joint Angles_2,Joint Angles_3,Joint Angles_4,Joint Angles_5,Joint Angles_6,Joint Angles_7
1731636618,489125244,1_1731636618-489125244.png,0,0,0.0,0.0,71.83000183105469,88.81999969482422,-121.0,219.0,-5.0,-37.0,16.0,-39.0,1_1731636618-489125244.png,"[-0.009483796431957, -0.012780222320337, 0.001009080422923, 0.011779509470922002, 0.014282745422020002, 0.0032717699706180004, -0.026497834178722, -0.08012015012227901]","[-0.009483796431957, -0.003296425888379, 0.01378930274326, 0.010770429047999, 0.002503235951097, -0.011010975451401001, -0.029769604149341003, -0.053622315943556]",-0.009483796431957,-0.012780222320337,0.001009080422923,0.011779509470922002,0.014282745422020002,0.0032717699706180004,-0.026497834178722,-0.08012015012227901
1731636618,522467041,2_1731636618-522467041.png,0,0,0.0,0.0,71.83000183105469,88.63999938964844,-42.0,117.0,-241.0,-25.0,-15.0,-15.0,2_1731636618-522467041.png,"[-0.009226345843983, -0.013729000406619, -0.0009550571423910001, 0.010351660627983001, 0.014109016912261001, 0.0042372377969270006, -0.025342061578998, -0.080551077982667]","[-0.009226345843983, -0.004502654562636, 0.012773943264227, 0.011306717770375, 0.0037573562842780003, -0.009871779115334, -0.029579299375925003, -0.055209016403668]",-0.009226345843983,-0.013729000406619,-0.0009550571423910001,0.010351660627983001,0.014109016912261001,0.0042372377969270006,-0.025342061578998,-0.080551077982667
1731636618,555810059,3_1731636618-555810059.png,0,0,0.0,0.0,71.83000183105469,88.63999938964844,-42.0,117.0,-241.0,-25.0,-15.0,-15.0,3_1731636618-555810059.png,"[-0.009684500440531001, -0.014004384289563, -0.000603354163176, 0.010768754024439001, 0.01428168972996, 0.0041074806624770005, -0.025580333822967, -0.080453175374503]","[-0.009684500440531001, -0.004319883849031, 0.013401030126386002, 0.011372108187615, 0.00351293570552, -0.010174209067482001, -0.029687814485445004, -0.054872841551535004]",-0.009684500440531001,-0.014004384289563,-0.000603354163176,0.010768754024439001,0.01428168972996,0.0041074806624770005,-0.025580333822967,-0.080453175374503
1731636618,589152832,4_1731636618-589152832.png,0,0,0.0,0.0,71.83000183105469,88.62000274658203,135.0,328.0,-405.0,35.0,50.0,-18.0,4_1731636618-589152832.png,"[-0.010636067226171001, -0.014087697492460001, 0.000302905268569, 0.010748115130995, 0.012833195438876, 0.0021446727274390003, -0.025727807328299, -0.075073569304118]","[-0.010636067226171001, -0.003451630266288, 0.014390602761029, 0.010445209862426, 0.00208508030788, -0.010688522711437, -0.027872480055738003, -0.049345761975819004]",-0.010636067226171001,-0.014087697492460001,0.000302905268569,0.010748115130995,0.012833195438876,0.0021446727274390003,-0.025727807328299,-0.075073569304118
1731636618,622496826,5_1731636618-622496826.png,0,0,0.0,0.0,71.88999938964844,88.58000183105469,26.0,324.0,-375.0,37.0,112.0,-19.0,5_1731636618-622496826.png,"[-0.010567657444280001, -0.014186497634957001, 0.00020481669236500002, 0.011034407686453002, 0.013682560593602, 0.003531225829944, -0.024036289903093002, -0.07351957270920201]","[-0.010567657444280001, -0.003618840190676, 0.014391314327322002, 0.010829590994088001, 0.0026481529071480004, -0.010151334763657, -0.027567515733038003, -0.049483282806108]",-0.010567657444280001,-0.014186497634957001,0.00020481669236500002,0.011034407686453002,0.013682560593602,0.003531225829944,-0.024036289903093002,-0.07351957270920201
1731636618,655839600,6_1731636618-655839600.png,0,0,0.0,0.0,71.72000122070312,88.55000305175781,112.0,339.0,-325.0,45.0,112.0,-12.0,6_1731636618-655839600.png,"[-0.011111795337781, -0.015174017470756002, -0.00042160444522800004, 0.01083936719611, 0.013853961349131002, 0.003869385232527, -0.023866165038015003, -0.07398433292282501]","[-0.011111795337781, -0.004062222132974001, 0.014752413025527001, 0.011260971641338002, 0.003014594153021, -0.009984576116604001, -0.027735550270542003, -0.05011816788481]",-0.011111795337781,-0.015174017470756002,-0.00042160444522800004,0.01083936719611,0.013853961349131002,0.003869385232527,-0.023866165038015003,-0.07398433292282501
1731636618,689183594,7_1731636618-689183594.png,0,0,0.0,0.0,71.62000274658203,88.54000091552734,-49.0,-82.0,206.0,30.0,96.0,13.0,7_1731636618-689183594.png,"[0.0035672896843510003, 0.0020695579021710003, 0.00357387023449, 0.010708584499951001, 0.014172762317905001, 0.0046668285036480005, -0.027106088798205002, -0.09022064988339501]","[0.0035672896843510003, -0.0014977317821800002, 0.001504312332319, 0.007134714265460001, 0.0034641778179540002, -0.009505933814257001, -0.031772917301853006, -0.06311456108519001]",0.0035672896843510003,0.0020695579021710003,0.00357387023449,0.010708584499951001,0.014172762317905001,0.0046668285036480005,-0.027106088798205002,-0.09022064988339501
1731636618,722526367,8_1731636618-722526367.png,0,0,0.0,0.0,71.62000274658203,88.44999694824219,-20.0,208.0,419.0,88.0,101.0,-9.0,8_1731636618-722526367.png,"[0.004833719340274, 0.00225210945059, 0.0023296536901010003, 0.010411941252093, 0.015460354833072001, 0.006438870265245001, -0.027686995435013004, -0.09766430909182401]","[0.004833719340274, -0.0025816098896840004, 7.754423951166369e-05, 0.008082287561991001, 0.005048413580979, -0.009021484567826001, -0.034125865700259, -0.06997731365681101]",0.004833719340274,0.00225210945059,0.0023296536901010003,0.010411941252093,0.015460354833072001,0.006438870265245001,-0.027686995435013004,-0.09766430909182401
1731636618,755870361,9_1731636618-755870361.png,0,0,0.0,0.0,71.5,88.44999694824219,19.0,345.0,414.0,80.0,53.0,-6.0,9_1731636618-755870361.png,"[0.014166918118078001, 0.015059675563695002, 0.007715916431382, 0.012128828345888002, 0.015670703047851002, 0.005714805676643, -0.030361489454914, -0.104828296129888]","[0.014166918118078001, 0.0008927574456170001, -0.007343759132313001, 0.004412911914506001, 0.0035418747019620002, -0.009955897371208, -0.036076295131558, -0.074466806674974]",0.014166918118078001,0.015059675563695002,0.007715916431382,0.012128828345888002,0.015670703047851002,0.005714805676643,-0.030361489454914,-0.104828296129888
1731636618,789213135,10_1731636618-789213135.png,0,0,0.0,0.0,71.41999816894531,88.48999786376953,-47.0,343.0,-27.0,54.0,-15.0,7.0,10_1731636618-789213135.png,"[0.015664284889883, 0.016274886215083002, 0.007455277952833001, 0.011938759067863, 0.016027027015912, 0.006022906710351001, -0.031765901348621, -0.11061658016358401]","[0.015664284889883, 0.0006106013252000001, -0.00881960826225, 0.00448348111503, 0.004088267948049, -0.010004120305561, -0.037788808058973, -0.07885067881496201]",0.015664284889883,0.016274886215083002,0.007455277952833001,0.011938759067863,0.016027027015912,0.006022906710351001,-0.031765901348621,-0.11061658016358401
