sec,nanosec,image,motor position #0,motor position #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_actual,wire length #0_normalized,wire length #1_normalized,loadcell #0_normalized,loadcell #1_normalized,fx_normalized,fy_normalized,fz_normalized,tx_normalized,ty_normalized,tz_normalized,Image Filename,Joint Angles,Joint Angles Relative,Joint Angles_0,Joint Angles_1,Joint Angles_2,Joint Angles_3,Joint Angles_4,Joint Angles_5,Joint Angles_6,Joint Angles_7
1733481037,234073730,1_1733481037-234073730.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.33996582031,539.299987792969,176,437,-1122,186,23,-2,55.0660374981271,21.6639339300263,-826.269204128205,57.0022090073641,-32.3270579304937,-15.9392969732428,-62.5953574180604,12.014977455139,-1.05808718502522,0.0,0.5000000002619345,0.0974280137801084,0.7946482852854476,0.5860042735042735,0.8528352835283528,0.4217780840799449,0.5217391304347826,0.4573770491803278,0.6373626373626374,1_1733481037-234073730.png,"[-0.08482471350784801, -0.22903847609059802, -0.38178139739780304, -0.5574192568251111, -0.7255187081519501, -0.8625893131317041, -0.9719910580760491, -1.054414724682682]","[-0.08482471350784801, -0.144213762582749, -0.15274292130720402, -0.175637859427307, -0.168099451326839, -0.137070604979753, -0.10940174494434401, -0.082423666606633]",-0.08482471350784801,-0.22903847609059802,-0.38178139739780304,-0.5574192568251111,-0.7255187081519501,-0.8625893131317041,-0.9719910580760491,-1.054414724682682
1733481037,267428467,2_1733481037-267428467.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.25,539.150024414063,-111,687,-456,370,-40,39,48.4223357289346,74.5745415888218,-812.21840924531,79.9533533570683,-31.1806819219585,-12.1650706738004,-62.4196317791939,11.9404668807982,-1.05897586792707,0.0,0.5000000002619345,0.0973675516641379,0.7944654700003713,0.4326923076923077,0.9653465346534652,0.6512749827705031,0.7439613526570048,0.3540983606557377,0.7875457875457876,2_1733481037-267428467.png,"[-0.082904360443512, -0.22751298472572, -0.382334981932175, -0.558173643314533, -0.7255843724103881, -0.8622367892343981, -0.9713994540158221, -1.053853401225673]","[-0.082904360443512, -0.144608624282208, -0.154821997206454, -0.17583866138235701, -0.16741072909585503, -0.136652416824009, -0.10916266478142402, -0.08245394720985101]",-0.082904360443512,-0.22751298472572,-0.382334981932175,-0.558173643314533,-0.7255843724103881,-0.8622367892343981,-0.9713994540158221,-1.053853401225673
1733481037,300784424,3_1733481037-300784424.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.19995117188,539.039978027344,-159,456,-297,251,-133,70,11.0637504621391,168.73432814557,-722.59491593499,123.407397129212,-43.9815247750328,1.67768708142875,-63.2318920493126,12.2931025028228,-1.06003310531378,0.0,0.5000000002619345,0.0973339160229626,0.7943313161709069,0.407051282051282,0.8613861386138614,0.7060647829083391,0.6002415458937198,0.201639344262295,0.9010989010989012,3_1733481037-300784424.png,"[-0.08315706291906401, -0.227269661285242, -0.38448841821053903, -0.563135554075344, -0.730078753400435, -0.8673075857702971, -0.974307695380603, -1.054498787023291]","[-0.08315706291906401, -0.144112598366177, -0.15721875692529602, -0.17864713586480502, -0.16694319932509002, -0.137228832369861, -0.10700010961030601, -0.080191091642688]",-0.08315706291906401,-0.227269661285242,-0.38448841821053903,-0.563135554075344,-0.730078753400435,-0.8673075857702971,-0.974307695380603,-1.054498787023291
1733481037,334139160,4_1733481037-334139160.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.11999511719,538.97998046875,168,-172,-397,-11,-202,31,29.0600579680773,154.917910468964,-631.676690066272,114.728037678016,-75.9316205816833,9.47897688194465,-63.2926751971245,12.3316473960875,-1.05945732444525,0.0,0.5000000002619345,0.0972801810352244,0.794258175175697,0.5817307692307693,0.5787578757875788,0.6716057891109579,0.2838164251207729,0.0885245901639344,0.7582417582417583,4_1733481037-334139160.png,"[-0.08434500045757501, -0.22770476387782002, -0.382531825950199, -0.5601258881759661, -0.7273003150706611, -0.862235059550811, -0.969575068187674, -1.050629952063414]","[-0.08434500045757501, -0.143359763420245, -0.154827062072378, -0.177594062225767, -0.167174426894695, -0.134934744480149, -0.10734000863686301, -0.08105488387574]",-0.08434500045757501,-0.22770476387782002,-0.382531825950199,-0.5601258881759661,-0.7273003150706611,-0.862235059550811,-0.969575068187674,-1.050629952063414
1733481037,367494873,5_1733481037-367494873.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.11999511719,538.97998046875,168,-172,-397,-11,-202,31,33.38480391901,144.742025198599,-624.371972284619,110.814535096147,-79.8557168887391,10.1488559406847,-62.3280674219132,11.9010622501372,-1.05799701064825,0.0,0.5000000002619345,0.0972801810352244,0.794258175175697,0.5817307692307693,0.5787578757875788,0.6716057891109579,0.2838164251207729,0.0885245901639344,0.7582417582417583,5_1733481037-367494873.png,"[-0.083165589789748, -0.22748504858885601, -0.38468052031529404, -0.563162365857627, -0.730053608421494, -0.86735189646362, -0.9744757812561481, -1.05476043447092]","[-0.083165589789748, -0.14431945879910701, -0.15719547172643802, -0.178481845542332, -0.166891242563866, -0.13729828804212502, -0.107123884792528, -0.080284653214771]",-0.083165589789748,-0.22748504858885601,-0.38468052031529404,-0.563162365857627,-0.730053608421494,-0.86735189646362,-0.9744757812561481,-1.05476043447092
1733481037,400849609,6_1733481037-400849609.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.11999511719,538.97998046875,168,-172,-397,-11,-202,31,41.6346403633872,125.330621590219,-610.437575292358,103.349181849649,-87.3412786055408,11.4267096539015,-63.5897073745728,12.4439864158629,-1.05623831599951,0.0,0.5000000002619345,0.0972801810352244,0.794258175175697,0.5817307692307693,0.5787578757875788,0.6716057891109579,0.2838164251207729,0.0885245901639344,0.7582417582417583,6_1733481037-400849609.png,"[-0.095571690028263, -0.23989755322931902, -0.38594819719515105, -0.562812225717304, -0.7305249372540681, -0.8676977149160681, -0.9740367260074381, -1.053269610981686]","[-0.095571690028263, -0.144325863201055, -0.146050643965832, -0.17686402852215302, -0.167712711536764, -0.137172777661999, -0.10633901109137, -0.079232884974247]",-0.095571690028263,-0.23989755322931902,-0.38594819719515105,-0.562812225717304,-0.7305249372540681,-0.8676977149160681,-0.9740367260074381,-1.053269610981686
1733481037,434205566,7_1733481037-434205566.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.0,539.630004882813,-18,70,-849,109,-76,-34,4.93642714699132,48.1087593315583,-578.577410898678,96.9648837902247,-88.7678231741194,9.29626179641828,-63.2281905114651,12.3061418533324,-1.05825233459473,0.0,0.5000000002619345,0.0971995375345433,0.7950505979620491,0.4823717948717949,0.6876687668766877,0.5158511371467953,0.428743961352657,0.2950819672131147,0.5201465201465202,7_1733481037-434205566.png,"[-0.08271960422946101, -0.22682733258674903, -0.38248241056584503, -0.559188434369112, -0.7263246657577961, -0.862108672873898, -0.9704012575572081, -1.052261002181713]","[-0.08271960422946101, -0.14410772835728802, -0.155655077979095, -0.17670602380326703, -0.16713623138868303, -0.135784007116102, -0.10829258468331, -0.081859744624505]",-0.08271960422946101,-0.22682733258674903,-0.38248241056584503,-0.559188434369112,-0.7263246657577961,-0.862108672873898,-0.9704012575572081,-1.052261002181713
1733481037,467560303,8_1733481037-467560303.png,407754,-385880,3.90389466285706,-3.69446992874145,1184.0,539.630004882813,-18,70,-849,109,-76,-34,4.22249119033157,48.790162051735,-586.994781599667,97.3394975933978,-88.3704025996829,7.94859078003367,-63.5342492461205,12.4209167957305,-1.05640745908022,0.0,0.5000000002619345,0.0971995375345433,0.7950505979620491,0.4823717948717949,0.6876687668766877,0.5158511371467953,0.428743961352657,0.2950819672131147,0.5201465201465202,8_1733481037-467560303.png,"[-0.083366820940674, -0.22828823508319201, -0.382029163659712, -0.5569187792147411, -0.72463638232931, -0.862139563190905, -0.9719760224625311, -1.0549004828038]","[-0.083366820940674, -0.14492141414251802, -0.15374092857652003, -0.17488961555502802, -0.167717603114569, -0.13750318086159402, -0.10983645927162501, -0.082924460341269]",-0.083366820940674,-0.22828823508319201,-0.382029163659712,-0.5569187792147411,-0.72463638232931,-0.862139563190905,-0.9719760224625311,-1.0549004828038
1733481037,500916016,9_1733481037-500916016.png,407754,-385880,3.90389466285706,-3.69446992874145,1183.83996582031,540.190002441406,-305,-21,-934,79,48,-4,-56.9086641148552,55.916086842436,-683.986418686736,95.0870522945414,-64.1409786024217,1.09759094147988,-69.7486767172814,15.1935698986052,-1.05774568766356,0.0,0.5000000002619345,0.0970919855209193,0.7957332720526376,0.3290598290598291,0.6467146714671467,0.4865609924190213,0.3925120772946859,0.4983606557377049,0.6300366300366301,9_1733481037-500916016.png,"[-0.08441381982978201, -0.22934418382090002, -0.38272049476615705, -0.557875380563224, -0.725385447145239, -0.862307069267026, -0.9716572009440411, -1.054191517266718]","[-0.08441381982978201, -0.144930363991117, -0.153376310945257, -0.175154885797066, -0.167510066582015, -0.13692162212178602, -0.109350131677015, -0.082534316322677]",-0.08441381982978201,-0.22934418382090002,-0.38272049476615705,-0.557875380563224,-0.725385447145239,-0.862307069267026,-0.9716572009440411,-1.054191517266718
1733481037,534270752,10_1733481037-534270752.png,407754,-385880,3.90389466285706,-3.69446992874145,1183.81005859375,540.049987792969,-187,-94,-822,32,-31,-21,-89.103507520174,36.0169438760607,-717.056480224763,88.0532686827864,-51.9109584788159,-1.32192035682224,-62.0801293253899,11.7943115234374,-1.06015630066395,0.0,0.5000000002619345,0.0970718861743631,0.795562584928517,0.3920940170940171,0.6138613861386139,0.5251550654720882,0.3357487922705314,0.3688524590163934,0.5677655677655677,10_1733481037-534270752.png,"[-0.08431367934424101, -0.22877257492690703, -0.382914369621604, -0.5591021009720111, -0.7262547932554471, -0.862215831660863, -0.9706572872320081, -1.052572449585514]","[-0.08431367934424101, -0.144458895582665, -0.15414179469469702, -0.17618773135040602, -0.16715269228343602, -0.135961038405415, -0.10844145557114501, -0.081915162353506]",-0.08431367934424101,-0.22877257492690703,-0.382914369621604,-0.5591021009720111,-0.7262547932554471,-0.862215831660863,-0.9706572872320081,-1.052572449585514
